"intBiotaAssociateID","intBiotaID","tintAssocType","intAssocBiotaID","vchrAssocBiotaText","vchrRelationForward","vchrRelationReverse","intRefID","vchrRefPage","bitUncertain","txtNotes","GUID"
"1318","81770","0","57074","","is a synonym of","has synonym","","","False","","{943753E1-0784-4DE4-8D75-E3CDB006969D}"
"1319","57074","0","81771","","has synonym","is a synonym of","","","False","","{FF688C57-5A86-4615-AB97-7841FFADFCE4}"
"1320","81771","0","57074","","is a synonym of","has synonym","","","False","","{7E47B051-BA8F-4F97-BBE4-F16692289092}"
"1325","57074","0","81775","","has synonym","is a synonym of","","","False","","{C0C433A3-8816-49F0-B83B-9D1F5310704F}"
"1326","81775","0","57074","","is a synonym of","has synonym","","","False","","{5EC328E2-E552-459E-A9D7-03B029D6F99F}"
"1327","57074","0","81776","","has synonym","is a synonym of","","","False","","{E4E6FF32-A6C8-4AEA-86AE-507B5C3F0BF5}"
"1328","81776","0","57074","","is a synonym of","has synonym","","","False","","{B3EF31F9-226E-40EA-8967-99E988DEF86F}"
"1333","57074","0","81779","","has synonym","is a synonym of","","","False","","{2F2F2A79-BDF6-458D-A3F2-B193B71B6D6E}"
"1334","81779","0","57074","","is a synonym of","has synonym","","","False","","{ADAD54D0-507A-4FCE-8F0C-10BAA9BE81AE}"
"1335","57074","0","81780","","has synonym","is a synonym of","","","False","","{1A0520CF-DB3E-4689-A5AA-FBC268F1B8E6}"
"1336","81780","0","57074","","is a synonym of","has synonym","","","False","","{70446356-3ADD-40E1-BDFC-92ADD5FF7B20}"
"1342","68955","0","57186","","is a synonym of","has synonym","","","False","","{023EA547-F713-4E57-8396-4AE029E6FAF9}"
"1345","57243","0","57059","","has synonym","is a synonym of","","","False","","{73084DCB-E5D1-45FF-BE64-FE43E330A263}"
"1350","69651","0","57243","","is a synonym of","has synonym","","","False","","{C21B2374-3467-4F87-9D2F-E35E7F4FDC0D}"
"2204","74193","0","61040","","is a synonym of","has synonym","","","False","","{1C8A9739-BA36-4A4E-80B0-CBC49A72ACEC}"
"2205","61040","0","74426","","has synonym","is a synonym of","","","False","","{8AD533D5-912B-4352-A0A3-5210D0E4EC7E}"
"2213","61068","0","61202","","has synonym","is a synonym of","","","False","","{E3F54419-947D-4F55-9BA8-DB846B2179DD}"
"2214","61202","0","61068","","is a synonym of","has synonym","","","False","","{00327E31-B831-4B11-B06C-7E9438DBB815}"
