intBiotaAssociateID,intBiotaID,tintAssocType,intAssocBiotaID,vchrAssocBiotaText,vchrRelationForward,vchrRelationReverse,intRefID,vchrRefPage,bitUncertain,txtNotes,GUID
0A8A486C-8BA6-4DA7-8162-6CC3717D6A55,3948be1f-2abd-4ae3-ad76-9aafed57d92a,0,6849ff9b-a837-40ed-97ea-cab0e3e232f8,,has synonym,is a synonym of,,,FALSE,,A6107D4E-9B52-47C6-B474-8E110ACA5C25
E2556C05-74CA-45DC-A7B4-E6F2F59F9C2D,3948be1f-2abd-4ae3-ad76-9aafed57d92a,0,4a0291a8-6b6b-4fc0-b5b4-e0e2dd6589ff,,has synonym,is a synonym of,,,FALSE,,E3D84720-9EA5-421E-B87B-D486FC73AE2B
11B422F3-1AB5-406B-885B-AB4FD5BE5A9A,a69d1b96-0dd8-4b4f-b272-741522935c29,0,6a52a403-2ac7-4cff-87a0-5cb904d0599f,,has synonym,is a synonym of,,,FALSE,,42A3AE9E-A078-4C13-9067-699B8B536E26
F3E47124-CCFF-465A-98DD-927577607CAA,a69d1b96-0dd8-4b4f-b272-741522935c29,0,02ce2658-96ba-4fac-8b37-b9b534e29fb0,,has synonym,is a synonym of,,,FALSE,,043511F9-5842-4BC5-A22A-8BA6C46B09A8
F56F62F8-0128-48C4-8988-567FF6FEFBD0,a69d1b96-0dd8-4b4f-b272-741522935c29,0,3ba1862b-7a46-4f97-8cc0-982e47aa51eb,,has synonym,is a synonym of,,,FALSE,,E909A9B6-B573-4B0F-90D1-322689414285
E71260AE-DCAD-4C3C-B9C4-732B6BE02DEA,a69d1b96-0dd8-4b4f-b272-741522935c29,0,961d9823-476a-4524-9c9c-c6de1d6af0a0,,has synonym,is a synonym of,,,FALSE,,5FECF0EB-D67C-4B49-BD7E-12D0C41F9770
F3B4A90A-7AE7-428B-B2E3-35B90F2C2C22,a69d1b96-0dd8-4b4f-b272-741522935c29,0,c11998b0-bb1a-4280-84a5-6dab82e76939,,has synonym,is a synonym of,,,FALSE,,B583B233-8F85-446B-A0EC-460F922B35A1
A5BB49EB-ADEB-4AFF-BC4A-CE45A063AB34,a69d1b96-0dd8-4b4f-b272-741522935c29,0,912f60fb-8420-4c45-b00f-9be9823f7222,,has synonym,is a synonym of,,,FALSE,,D5235B0D-9260-49F8-9665-9A53D033E711
336C6A14-E326-40A5-9F62-DB0451A81CB5,a69d1b96-0dd8-4b4f-b272-741522935c29,0,3a8f8e55-61e9-491c-a49b-27cfd4c45a9f,,has synonym,is a synonym of,,,FALSE,,BA9236C8-2EDA-4D1E-905F-05AD43D21B2E
0E4C1471-10D1-425F-A634-C55C0A1C6458,a69d1b96-0dd8-4b4f-b272-741522935c29,0,93960245-26f5-4ab0-a8a0-2dac77a7f603,,has synonym,is a synonym of,,,FALSE,,136980E8-29A7-45D8-8613-A1B6A6728071
